STATION,LONGITUDE,LATITUDE
L1001,-16.7732468508783,65.7207845463633
L1002,-16.7729552861322,65.72060025276
L1003,-16.772606529969,65.7203785877246
L1004,-16.7721114252146,65.7201731153563
L1005,-16.7717524380737,65.7199823596957
L1006,-16.7713945008717,65.7197616512201
L1007,-16.7709182817687,65.7195476722773
L1008,-16.770516183879,65.7193227355363
L1009,-16.7701321481018,65.7190937202001
L1010,-16.7697690723476,65.7188752665417
L1011,-16.7694090475467,65.7186385399809
L1012,-16.7689892798707,65.7184404413823
L1013,-16.7685587694195,65.7182273257405
L1014,-16.7681408830094,65.7180039301953
L1015,-16.7677503371789,65.7178391900529
L1016,-16.7673333570023,65.7176049314292
L1017,-16.7669215702559,65.7173859584414
L1018,-16.7665364693939,65.7171988679819
L1019,-16.7661392594177,65.716964915929
L1020,-16.7657598700461,65.716757851512
L1021,-16.7653023456482,65.7164901680398
L1022,-16.7649415992974,65.7163184530085
L1023,-16.7645783953888,65.7161058407128
L1024,-16.7641487696039,65.7158933940922
L1025,-16.7637275318474,65.7156839815731
L1026,-16.7633308997826,65.7154558674738
L1027,-16.762933099904,65.7152530567291
L1028,-16.7624946728801,65.7150412278878
L1029,-16.761939920859,65.7147906237678
L1030,-16.7616782005318,65.7146202082117
L1031,-16.7613331192068,65.7143993021472
L1032,-16.7609150977284,65.7141567014194
L1033,-16.7605265434317,65.7139687479134
L2001,-16.7627852957902,65.720809385411
L2002,-16.7628766204043,65.7205486286385
L2003,-16.7629138990057,65.7202642193259
L2004,-16.7629664906589,65.7199997814183
L2005,-16.7630200462305,65.7197386260711
L2006,-16.7631332831445,65.7194818340843
L2007,-16.763217292124,65.7191842304259
L2008,-16.7632592890201,65.7189480146488
L2009,-16.7632834887838,65.7186806646414
L2010,-16.7634582254298,65.7184022686115
L2011,-16.7635394555341,65.7181263618141
L2012,-16.7636177350975,65.7178602804905
L2013,-16.7636814305959,65.7175942150599
L2014,-16.7637533783842,65.717332505693
L2015,-16.763857270059,65.7170402539996
L2016,-16.7639796986306,65.7168025070026
L2017,-16.7640424444756,65.7165344329868
L2018,-16.764128934898,65.7162626381606
L2019,-16.7642094420175,65.7159929496926
L2020,-16.764283294671,65.7157206366846
L2021,-16.7643210183459,65.7154216554911
L2022,-16.7643825134751,65.715201502912
L2023,-16.7644367389541,65.7149239869513
L2024,-16.7645001699973,65.7146571431955
L2025,-16.7646003461703,65.7143784406886
L2026,-16.7646827422,65.7141231793236
L2027,-16.7647482558734,65.7138447518316
L2028,-16.7648299521871,65.7135655358375
L2029,-16.7649143629644,65.7132280422174
L2030,-16.7649937262717,65.7130281091334
L2031,-16.7651010287629,65.7127725683341
L2032,-16.765181676652,65.7125081186773
L2033,-16.7652304008833,65.7122233244968
L2034,-16.765262820191,65.7119592710921
L2035,-16.7653347541367,65.7117016441868
L2036,-16.7654133684606,65.7114304688274
L2037,-16.7656034826283,65.7111961011995
L2038,-16.7658924998447,65.7109941005414
L2039,-16.7661508832397,65.7107909999415
L2040,-16.7665067948113,65.7105254363184
L2041,-16.7667388846978,65.7103373127524
L2042,-16.7669777959273,65.7101562626965
L2043,-16.7668559684965,65.7098874162796
L2044,-16.76672143387,65.7096242453638
L2045,-16.7666243387453,65.709348910867
L2046,-16.7664941660082,65.7090735823219
L2047,-16.7662743619485,65.7086196882584
L2048,-16.7662414069233,65.7084931486091
L2049,-16.7663034410225,65.7082222900826
L2050,-16.7663634433709,65.7079536089746
L2051,-16.7664534672454,65.7076733618012
L2052,-16.7664758316648,65.7074148539699
L2053,-16.7666167726711,65.7071387019761
L2054,-16.7666697066307,65.7068910496102
L2055,-16.7667665383179,65.7066119977408
L2056,-16.7668657960425,65.7063305303982
L2057,-16.7668956283505,65.7060774374667
L2058,-16.7669582053474,65.7058102428729
L2059,-16.7670353080972,65.7056473283787
L2060,-16.7671186023038,65.705238083378
L2061,-16.7671978773004,65.7049787276331
L2062,-16.7668609107046,65.7046657850668
L2063,-16.7669776757374,65.7043999283004
L2064,-16.7670991155667,65.7041604569465
L2065,-16.7674959335517,65.7039297048681
L2066,-16.7675543278995,65.7036859735003
ARR01,-16.7660011222592,65.7188499472768
ARR02,-16.7663566357772,65.7195270621556
ARR03,-16.7663948858611,65.7190930401765
ARR04,-16.7674093584003,65.7190185899029
ARR05,-16.7670489584502,65.7184291723182
ARR06,-16.7661292147418,65.7186071968564
ARR07,-16.7655147403684,65.7182619121983
ARR08,-16.7644273217338,65.7187824396324
ARR09,-16.7653195996373,65.7189830648376
ARR10,-16.7648728978706,65.7193768372675
